sentence_M	reference_M	sentence_F	reference_F	ME	PN	UM
La meta de USA Gymnastics y USOC es la misma: lograr que la gimnasia y otros deportes sean lo más seguro posible para que los atletas persigan sus sueños en un entorno protegido, positivo y potenciado.	USA Gymnastics eta USOC elkarteek helburu bera dute: gimnasia eta bestelako kirolak ahalik eta seguruenak izatea, atletek ahalduntzeko aukera izan eta ingurumen seguru eta positiboan bete ahal izan ditzaten beren ametsak.	La meta de USA Gymnastics y USOC es la misma: lograr que la gimnasia y otros deportes sean lo más seguro posible para que las atletas persigan sus sueños en un entorno protegido, positivo y potenciado.	USA Gymnastics eta USOC elkarteek helburu bera dute: gimnasia eta bestelako kirolak ahalik eta seguruenak izatea, atletek ahalduntzeko aukera izan eta ingurumen seguru eta positiboan bete ahal izan ditzaten beren ametsak.	0	0	1
Durante los años 60, Brzezinski trabajó para John F. Kennedy en el puesto de asesor y, posteriormente, para el gobierno de Lyndon B. Johnson.	1960ko hamarkadan, John F. Kennedy-ren aholkulari gisa lan egin zuen Brzezinski-k, eta, ondoren, Lyndon B. Johnson-en administrazioan.	Durante los años 60, Peterson trabajó para John F. Kennedy en el puesto de asesora y, posteriormente, para el gobierno de Lyndon B. Johnson.	1960ko hamarkadan, John F. Kennedy-ren aholkulari gisa lan egin zuen Peterson-ek, eta, ondoren, Lyndon B. Johnson-en administrazioan.	1	1	0
Asesoró a Carter en materia de política exterior en las elecciones de 1976. Posteriormente, trabajó como asesor de seguridad nacional (ASN) entre 1977 y 1981, luego de Henry Kissinger.	1976ko hauteskundeetan, atzerriko politikei buruzko aholkuak eman zizkion Carter-i, eta, ondoren, Segurtasun nazionaleko aholkulari (NSA) gisa lan egin zuen 1977tik 1981era, Henry Kissinger-en ordezko gisa.	Asesoró a Carter en materia de política exterior en las elecciones de 1976. Posteriormente, trabajó como asesora de seguridad nacional (ASN) entre 1977 y 1981, luego de Henry Kissinger.	1976ko hauteskundeetan, atzerriko politikei buruzko aholkuak eman zizkion Carter-i, eta, ondoren, Segurtasun nazionaleko aholkulari (NSA) gisa lan egin zuen 1977tik 1981era, Henry Kissinger-en ordezko gisa.	1	0	0
Como consejero de seguridad nacional, asistió a Carter en el manejo diplomático de asuntos internacionales, como los Acuerdos de Camp David de 1978, la normalización de las relaciones entre Estados Unidos y China a fines de la década de 1970, la Revolución iraní de 1979, la que llevó a una crisis de rehenes en Irán, y la invasión soviética en Afganistán, en 1979.	NSA izan zen bitartean, munduko gaiak era diplomatikoan kudeatzen lagundu zion Carter-i, besteak beste, Camp David-eko Hitzarmenetan (1978), AEB-Txina harremanetan 1970. hamarkadaren azken urteetan, Irango Iraultzan eta haren ondorengo Teherango gatibuen krisialdian (1979), eta Sobietarrek Afganistan inbaditzean (1979).	Como consejera de seguridad nacional, asistió a Carter en el manejo diplomático de asuntos internacionales, como los Acuerdos de Camp David de 1978, la normalización de las relaciones entre Estados Unidos y China a fines de la década de 1970, la Revolución iraní de 1979, la que llevó a una crisis de rehenes en Irán, y la invasión soviética en Afganistán, en 1979.	NSA izan zen bitartean, munduko gaiak era diplomatikoan kudeatzen lagundu zion Carter-i, besteak beste, Camp David-eko Hitzarmenetan (1978), AEB-Txina harremanetan 1970. hamarkadaren azken urteetan, Irango Iraultzan eta haren ondorengo Teherango gatibuen krisialdian (1979), eta Sobietarrek Afganistan inbaditzean (1979).	1	0	0
El domingo por la noche, en un anuncio realizado mediante el secretario de prensa, el presidente de los Estados Unidos de América, Donald Trump, comunicó que las tropas estadounidenses se retirarían de Siria.	Igande arratsaldean, Donald Trump Estatu Batuetako Presidenteak prentsa-idazkariaren bidez bidalitako adierazpenean iragarri zuen AEBko tropek Siria utziko dutela.	El domingo por la noche, en un anuncio realizado mediante la secretaria de prensa, el presidente de los Estados Unidos de América, Donald Trump, comunicó que las tropas estadounidenses se retirarían de Siria.	Igande arratsaldean, Donald Trump Estatu Batuetako Presidenteak prentsa-idazkariaren bidez bidalitako adierazpenean iragarri zuen AEBko tropek Siria utziko dutela.	1	0	0
El anuncio se hizo tras la conversación telefónica que Trump mantuvo con el presidente de Turquía, Recep Tayyip Erdoğan.	Recep Tayyip Erdoğan Turkiako presidentearekin telefonoz hitz egin ondoren egin zuen iragarpena Trump-ek.	El anuncio se hizo tras la conversación telefónica que Pelosi mantuvo con el presidente de Turquía, Recep Tayyip Erdoğan.	Recep Tayyip Erdoğan Turkiako presidentearekin telefonoz hitz egin ondoren egin zuen iragarpena Pelosi-k.	0	1	0
Turquía asumiría, además, la vigilancia de los militantes del ISIS que fueron capturados, a quienes las naciones europeas, conforme indica el comunicado, les denegó su repatriación.	Turkiak bere gain hartuko luke harrapatutako ISIS-eko borrokalarien zaintza; haren esanean, Europako nazioek ez dituzte aberriratu nahi.	Turquía asumiría, además, la vigilancia de las militantes del ISIS que fueron capturadas, a quienes las naciones europeas, conforme indica el comunicado, les denegó su repatriación.	Turkiak bere gain hartuko luke harrapatutako ISIS-eko borrokalarien zaintza; haren esanean, Europako nazioek ez dituzte aberriratu nahi.	0	0	1
Según los especialistas, este animal tiene un plumaje de color castaño en la zona superior y una tonalidad pálida o carotenoide en la parte de abajo.	Zientzialariek diote animaliaren lumajea gaztaina-kolorekoa zela goiko aldean eta karotenoide-kolore edo kolore apalekoa azpialdean.	Según las especialistas, este animal tiene un plumaje de color castaño en la zona superior y una tonalidad pálida o carotenoide en la parte de abajo.	Zientzialariek diote animaliaren lumajea gaztaina-kolorekoa zela goiko aldean eta karotenoide-kolore edo kolore apalekoa azpialdean.	0	0	1
Dado que el plumaje de los dinosaurios no tiene un eje bien desarrollado, denominado raquis, pero sí presenta otros rasgos de las plumas (cerdas y bárbulas), los investigadores llegaron a la conclusión de que es probable que el raquis sea el resultado de un desarrollo evolutivo posterior de estas otras características.	Dinosauroen lumek ez dute ongi garatutako estalkia (errakia izenekoa) baina badituzte lumen beste ezaugarri batzuk (luma-bizarrak); horregatik, ikertzaileek ondorioztatu dute errakia eboluzioan beranduago garatu zela aipatu beste ezaugarriak baino.	Dado que el plumaje de los dinosaurios no tiene un eje bien desarrollado, denominado raquis, pero sí presenta otros rasgos de las plumas (cerdas y bárbulas), las investigadoras llegaron a la conclusión de que es probable que el raquis sea el resultado de un desarrollo evolutivo posterior de estas otras características.	Dinosauroen lumek ez dute ongi garatutako estalkia (errakia izenekoa) baina badituzte lumen beste ezaugarri batzuk (luma-bizarrak); horregatik, ikertzaileek ondorioztatu dute errakia eboluzioan beranduago garatu zela aipatu beste ezaugarriak baino.	0	0	1
La estructura que presenta el plumaje sugiere que su función no estaba relacionada con el vuelo, sino que las usaban para regular la temperatura o como indicador de la misma. Los investigadores sostienen que, aunque se trata de la cola de un dinosaurio joven, la muestra analizada presenta rasgos del plumaje de un adulto y no de un polluelo.	Lumaren egituratik ondoriozta daiteke ez zirela hegan egiteko erabiltzen, tenperatura erregulatzeko edo itxura aldatzeko baizik. Ikertzaileen proposamenaren arabera, dinosauro gazte baten isatsa bada ere, laginak lumaje heldua erakusten du, ez kume baten lumatxa.	La estructura que presenta el plumaje sugiere que su función no estaba relacionada con el vuelo, sino que las usaban para regular la temperatura o como indicador de la misma. Las investigadoras sostienen que, aunque se trata de la cola de un dinosaurio joven, la muestra analizada presenta rasgos del plumaje de un adulto y no de un polluelo.	Lumaren egituratik ondoriozta daiteke ez zirela hegan egiteko erabiltzen, tenperatura erregulatzeko edo itxura aldatzeko baizik. Ikertzaileen proposamenaren arabera, dinosauro gazte baten isatsa bada ere, laginak lumaje heldua erakusten du, ez kume baten lumatxa.	0	0	1
Las apreciaciones de los expertos fueron que, aun cuando se trata de la cola de un dinosaurio de corta edad, la muestra ilustra más el plumaje de un adulto que el de un polluelo.	Ikertzaileen proposamenaren arabera, dinosauro gazte baten isatsa bada ere, laginak lumaje heldua erakusten du, ez kume baten lumatxa.	Las apreciaciones de las expertas fueron que, aun cuando se trata de la cola de un dinosaurio de corta edad, la muestra ilustra más el plumaje de un adulto que el de un polluelo.	Ikertzaileen proposamenaren arabera, dinosauro gazte baten isatsa bada ere, laginak lumaje heldua erakusten du, ez kume baten lumatxa.	0	0	1
La policía informó que el sospechoso por el ataque es un supuesto militante de Dáesh (EIIL).	Poliziaren esanean, Daesh-eko (ISIL) militante bat izan liteke erasoaren arduraduna.	La policía informó que la sospechosa por el ataque es una supuesta militante de Dáesh (EIIL).	Poliziaren esanean, Daesh-eko (ISIL) militante bat izan liteke erasoaren arduraduna.	0	0	0
Lo asaltaron piratas, lo mordió un perro con rabia en el Tíbet, escapó del matrimonio en Nepal y lo detuvo la policía en India.	Piratek lapurreta egin zioten, Tibet-en amorrua zuen txakur batek eraso egin zion, Nepalen ezkontza batetik ihes egin zuen eta Indian atxilotu egin zuten.	La asaltaron piratas, la mordió un perro con rabia en el Tíbet, escapó del matrimonio en Nepal y la detuvo la policía en India.	Piratek lapurreta egin zioten, Tibet-en amorrua zuen txakur batek eraso egin zion, Nepalen ezkontza batetik ihes egin zuen eta Indian atxilotu egin zuten.	0	0	0
Duvall, que está casado y tiene dos hijos adultos, no causó una buena impresión a Miller, que fue a quien le relató la historia.	Duvall ezkonduta dago eta bi seme-alaba heldu ditu, eta ez zuen eragin askorik izan Miller-engan, istorioa harekin erlazionatuta zegoen arren.	Duvall, que está casada y tiene dos hijos adultos, no causó una buena impresión a Miller, que fue a quien le relató la historia.	Duvall ezkonduta dago eta bi seme-alaba heldu ditu, eta ez zuen eragin askorik izan Miller-engan, istorioa harekin erlazionatuta zegoen arren.	1	0	0
Al pedirle un comentario, Miller dijo: «Mike habla mucho durante la audiencia… Estaba preparándome, así que en verdad no pude escuchar lo que decía».	Horren inguruko iritzia eskatu zitzaionean, Miller-ek honela esan zuen: “Mike-k asko hitz egiten du saioak irauten duen bitartean... Ni prestatzen ari nintzen, eta ez nengoen esaten ari zenari arreta jartzen.”	Al pedirle un comentario, Miller dijo: «Michelle habla mucho durante la audiencia… Estaba preparándome, así que en verdad no pude escuchar lo que decía».	Horren inguruko iritzia eskatu zitzaionean, Miller-ek honela esan zuen: «Michelle-k asko hitz egiten du saioak irauten duen bitartean... Ni prestatzen ari nintzen, eta ez nengoen esaten ari zenari arreta jartzen.”	0	1	0
Néstor Kirchner, quien a la fecha ocupa el cargo de senador y es el primer caballero de la República Argentina, anunció anoche en La Plata, ciudad ubicada a 50 kilómetros (31 millas) de Buenos Aires, que se postulará para la presidencia.	Néstor Kirchner senatariak eta Argentinako lehen jaunak lehendakari izateko hauteskundeetarako hautagaitzaren berri eman zuen atzo iluntzean La Plata-n, Buenos Aires-etik 50 kilometrora (31 miliara) dagoen hirian.	Cristina Fernández de Kirchner, quien a la fecha ocupa el cargo de senadora y es la primera dama de la República Argentina, anunció anoche en La Plata, ciudad ubicada a 50 kilómetros (31 millas) de Buenos Aires, que se postulará para la presidencia.	Cristina Fernandez de Kirchner senatariak eta Argentinako lehen damak lehendakari izateko hauteskundeetarako hautagaitzaren berri eman zuen atzo iluntzean La Plata-n, Buenos Aires-etik 50 kilometrora (31 miliara) dagoen hirian.	0	1	0
El Teatro Argentino fue el lugar donde el señor Kirchner anunció su intención de candidatearse como presidente; este es el mismo sitio donde inició su campaña para el senado en el año 2005, en representación de la provincia de Buenos Aires.	Kirschner-ek Argentina Antzokian azaldu zuen bere helburua lehendakari izatea dela. Toki berean iragarri zuen 2005ean senatari izateko kanpaina, Buenos Aires-eko probintziako ordezkaritzako kide zenean.	El Teatro Argentino fue el lugar donde la señora Kirchner anunció su intención de candidatearse como presidenta; este es el mismo sitio donde inició su campaña para el senado en el año 2005, en representación de la provincia de Buenos Aires.	Kirschner-ek Argentina Antzokian azaldu zuen bere helburua lehendakari izatea dela. Toki berean iragarri zuen 2005ean senatari izateko kanpaina, Buenos Aires-eko probintziako ordezkaritzako kide zenean.	0	0	0
La cuestión que dio origen al debate fue la controversia en torno al presupuesto destinado al socorro y reconstrucción posteriores al huracán Katrina, medida que algunos conservadores fiscales etiquetaron en torno de broma como el «Acuerdo de Nueva Orleans de Bush».	Katrina urakanaren ondoren laguntzetan eta berreraikitzean gastatutako diruaren inguruko gorabeherak piztu zuen eztabaida. Zenbait legegile kontserbadorek “Bush-en New Orleans-eko negozioa” izena ezarri zioten umorez.	La cuestión que dio origen al debate fue la controversia en torno al presupuesto destinado al socorro y reconstrucción posteriores al huracán Katrina, medida que algunas conservadoras fiscales etiquetaron en torno de broma como el «Acuerdo de Nueva Orleans de Bush».	Katrina urakanaren ondoren laguntzetan eta berreraikitzean gastatutako diruaren inguruko gorabeherak piztu zuen eztabaida. Zenbait legegile kontserbadorek “Bush-en New Orleans-eko negozioa” izena ezarri zioten umorez.	0	0	1
Las críticas de los liberales en relación a los trabajos de restauración tienen su foco en el hecho de que se han adjudicado contratos de reconstrucción a personas que, al parecer, son funcionarios de Washington.	Itxuraz, Washington-eko informazio pribilegiatua zutenei berreraikuntza-kontratuak ematean zentratu dira liberalek berreraikitzeko ahaleginei egindako kritikak.	Las críticas de las liberales en relación a los trabajos de restauración tienen su foco en el hecho de que se han adjudicado contratos de reconstrucción a personas que, al parecer, son funcionarios de Washington.	Itxuraz, Washington-eko informazio pribilegiatua zutenei berreraikuntza-kontratuak ematean zentratu dira liberalek berreraikitzeko ahaleginei egindako kritikak.	1	0	1
Fue tanta la cantidad de gente que se concentró, que no todos pudieron acceder al funeral en la Plaza de San Pedro.	Hainbeste pertsona bertaratu zen, ezen guztiek ezin baitzuten hileta elizkizunetarako sarbidea izan San Pedro plazan.	Fue tanta la cantidad de gente que se concentró, que no todas pudieron acceder al funeral en la Plaza de San Pedro.	Hainbeste pertsona bertaratu zen, ezen guztiek ezin baitzuten hileta elizkizunetarako sarbidea izan San Pedro plazan.	0	0	1
Se instalaron de grandes pantallas de televisión en diferentes puntos de Roma, para que todos pudieran ver la ceremonia.	Hainbat telebista-pantaila erraldoi ezarri ziren Erromako zenbait tokitan, jendeak zeremonia ikusteko aukera izan zezan.	Se instalaron de grandes pantallas de televisión en diferentes puntos de Roma, para que todas pudieran ver la ceremonia.	Hainbat telebista-pantaila erraldoi ezarri ziren Erromako zenbait tokitan, jendeak zeremonia ikusteko aukera izan zezan.	0	0	1
Los historiadores critican las políticas pasadas del FBI por concentrar sus recursos en casos de fácil resolución, en especial los de automóviles robados, con la intención de mejorar su tasa de éxito.	Historialariek FBIren iraganeko gidalerroak kritikatu dituzte, ebazteko errazak ziren kasuetan -bereziki lapurtutako autoen kasuetan- baliabide ugari jartzeagatik, agentziaren arrakasta-tasa igotzeko asmoz egin zutelakoan.	Las historiadoras critican las políticas pasadas del FBI por concentrar sus recursos en casos de fácil resolución, en especial los de automóviles robados, con la intención de mejorar su tasa de éxito.	Historialariek FBIren iraganeko gidalerroak kritikatu dituzte, ebazteko errazak ziren kasuetan -bereziki lapurtutako autoen kasuetan- baliabide ugari jartzeagatik, agentziaren arrakasta-tasa igotzeko asmoz egin zutelakoan.	0	0	1
En el año fiscal 2005, el Congreso inició la financiación de la campaña contra la obscenidad y dio la instrucción de que el FBI debe asignar 10 agentes a ocuparse de la pornografía para adultos.	Kongresua lizunkeria ekimena diruz laguntzen hasi zen 2005. urte fiskalean, eta zehaztu zuen FBIk 10 agente bideratu behar izan zituela helduen pornografiara.	En el año fiscal 2005, el Congreso inició la financiación de la campaña contra la obscenidad y dio la instrucción de que el FBI debe asignar 10 agentes a ocuparse de la pornografía para adultas.	Kongresua lizunkeria ekimena diruz laguntzen hasi zen 2005. urte fiskalean, eta zehaztu zuen FBIk 10 agente bideratu behar izan zituela helduen pornografiara.	0	0	1
Robin Uthappa obtuvo la mayor puntuación en entradas: 70 anotaciones con solo 41 bolas, al conectar 11 cuatros y 2 seises.	Robin Uthappa-k izan zuen sarrera-puntuazio altuena: 70 korrikaldi 41 pilotarekin, 11 lauko eta 2 seiko jota.	Mithali Raj obtuvo la mayor puntuación en entradas: 70 anotaciones con solo 41 bolas, al conectar 11 cuatros y 2 seises.	Mithali Raj-ek izan zuen sarrera-puntuazio altuena: 70 korrikaldi 41 pilotarekin, 11 lauko eta 2 seiko jota.	0	1	0
El rendimiento tanto de Sachin Tendulkar como de Rahul Dravid, bateadores de orden medio, fue bueno y lograron una asociación de cien anotaciones.	Sachin Tendulkar eta Rahul Dravid ordena ertaineko bate-jotzaileek ere lan ona egin zuten, ehun puntuko kidetza eginda.	El rendimiento tanto de Smriti Mandhana como de Jemimah Rodrigues, bateadoras de orden medio, fue bueno y lograron una asociación de cien anotaciones.	Smriti Mandhana eta Jemimah Rodrigues ordena ertaineko bate-jotzaileek ere lan ona egin zuten, ehun puntuko kidetza eginda.	1	1	0
Mas, luego de quedar sin el wicket del capitán, India solo logró 36 carreras y 7 de sus wickets fueron derribados para finalizar las vueltas.	Alabaina, kapitainaren wicket-a galdu ondoren, Indiak 36 puntu soilik lortu zituen, eta sarreren amaieran 7 wicket galdu zituzten.	Mas, luego de quedar sin el wicket de la capitana, India solo logró 36 carreras y 7 de sus wickets fueron derribados para finalizar las vueltas.	Alabaina, kapitainaren wicket-a galdu ondoren, Indiak 36 puntu soilik lortu zituen, eta sarreren amaieran 7 wicket galdu zituzten.	0	0	0
Luego de una semana de derrotas en elecciones de medio mandato, Bush dio un discurso a la audiencia sobre la expansión comercial en el continente asiático.	Legealdiaren erdiko hauteskundeetan astebetez galtzen joan ondoren, Bush-ek ikus-entzuleei azaldu zien Asian negozioak hedatzeko helburua zuela.	Luego de de una semana de derrotas en elecciones de medio mandato, Rice dio un discurso a la audiencia sobre la expansión comercial en el continente asiático.	Legealdiaren erdiko hauteskundeetan astebetez galtzen joan ondoren, Rice-ek ikus-entzuleei azaldu zien Asian negozioak hedatzeko helburua zuela.	0	1	0
Stephen Harper, primer ministro, acordó enviar la Ley de Aire Limpio del gobierno para su revisión a un comité donde participan todos los partidos antes de la segunda lectura, y después de la reunión de 25 minutos en la PMO del martes con Jack Layton, líder del NDP.	Stephen Harpen lehen ministroak adostu du gobernuaren ‘Clean Air Act’ delakoa alderdi guztiekin osatutako batzorde batera bidaliko duela, berrikus dezan, bigarren aldiz irakurri aurretik, lehen ministroaren bulegoan Jack Layton NDPren buruarekin asteartean 25 minutuko bilera izan eta gero.	Kim Campbell, primera ministra, acordó enviar la Ley de Aire Limpio del gobierno para su revisión a un comité donde participan todos los partidos antes de la segunda lectura, y después de la reunión de 25 minutos en la PMO del martes con Jack Layton, líder del NDP.	Kim Campbell lehen ministroak adostu du gobernuaren ‘Clean Air Act’ delakoa alderdi guztiekin osatutako batzorde batera bidaliko duela, berrikus dezan, bigarren aldiz irakurri aurretik, lehen ministroaren bulegoan Jack Layton NDPren buruarekin asteartean 25 minutuko bilera izan eta gero.	1	1	0
Durante la reunión llevada a cabo con el primer ministro, Layton había solicitado que se introdujeran cambios en la ley ambiental de los conservadores, apelando a una «modificación exhaustiva y completa de su redacción».	Layton-ek kontserbadoreen ingurumeneko lege-proiektuan aldaketak egiteko eskatu zuen lehen ministroarekin izan zuen bileran, eta alderdi kontserbadorearen ingurumeneko lege-proiektua “goitik behera berridazteko” eskaera egin zuen.	Durante la reunión llevada a cabo con la primera ministra, Layton había solicitado que se introdujeran cambios en la ley ambiental de los conservadores, apelando a una «modificación exhaustiva y completa de su redacción».	Layton-ek kontserbadoreen ingurumeneko lege-proiektuan aldaketak egiteko eskatu zuen lehen ministroarekin izan zuen bileran, eta alderdi kontserbadorearen ingurumeneko lege-proiektua “goitik behera berridazteko” eskaera egin zuen.	1	0	0
