sentence_M	reference_M	sentence_F	reference_F	ME	PN
During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.	1976ko hauteskundeetan, atzerriko politikei buruzko aholkuak eman zizkion Carter-i, eta, ondoren, Segurtasun nazionaleko aholkulari (NSA) gisa lan egin zuen 1977tik 1981era, Henry Kissinger-en ordezko gisa.	During the 1976 selections she advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.	1976ko hauteskundeetan, atzerriko politikei buruzko aholkuak eman zizkion Carter-i, eta, ondoren, Segurtasun nazionaleko aholkulari (NSA) gisa lan egin zuen 1977tik 1981era, Henry Kissinger-en ordezko gisa.	1	0
As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.	NSA izan zen bitartean, munduko gaiak era diplomatikoan kudeatzen lagundu zion Carter-i, besteak beste, Camp David-eko Hitzarmenetan (1978), AEB-Txina harremanetan 1970. hamarkadaren azken urteetan, Irango Iraultzan eta haren ondorengo Teherango gatibuen krisialdian (1979), eta Sobietarrek Afganistan inbaditzean (1979).	As NSA, she assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.	NSA izan zen bitartean, munduko gaiak era diplomatikoan kudeatzen lagundu zion Carter-i, besteak beste, Camp David-eko Hitzarmenetan (1978), AEB-Txina harremanetan 1970. hamarkadaren azken urteetan, Irango Iraultzan eta haren ondorengo Teherango gatibuen krisialdian (1979), eta Sobietarrek Afganistan inbaditzean (1979).	1	0
The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.	Recep Tayyip Erdoğan Turkiako presidentearekin telefonoz hitz egin ondoren egin zuen iragarpena Trump-ek.	The announcement was made after Pelosi had a phone conversation with Turkish President Recep Tayyip Erdoğan.	Recep Tayyip Erdoğan Turkiako presidentearekin telefonoz hitz egin ondoren egin zuen iragarpena Pelosi-k.	1	1
During his trip, Iwasaki ran into trouble on many occasions.	Bidaian zehar, behin baino gehiagotan izan zituen arazoak Iwasaki-k.	During her trip, Iwasaki ran into trouble on many occasions.	Bidaian zehar, behin baino gehiagotan izan zituen arazoak Iwasaki-k.	0	0
He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.	Piratek lapurreta egin zioten, Tibet-en amorrua zuen txakur batek eraso egin zion, Nepalen ezkontza batetik ihes egin zuen eta Indian atxilotu egin zuten.	She was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.	Piratek lapurreta egin zioten, Tibet-en amorrua zuen txakur batek eraso egin zion, Nepalen ezkontza batetik ihes egin zuen eta Indian atxilotu egin zuten.	0	0
"When asked for comment, Miller said, ""Mike talks a lot during the hearing... I was getting ready so I wasn't really hearing what he was saying."""	Horren inguruko iritzia eskatu zitzaionean, Miller-ek honela esan zuen: “Mike-k asko hitz egiten du saioak irauten duen bitartean... Ni prestatzen ari nintzen, eta ez nengoen esaten ari zenari arreta jartzen.”	"When asked for comment, Miller said, ""Michelle talks a lot during the hearing... I was getting ready so I wasn't really hearing what she was saying."""	Horren inguruko iritzia eskatu zitzaionean, Miller-ek honela esan zuen: «Michelle-k asko hitz egiten du saioak irauten duen bitartean... Ni prestatzen ari nintzen, eta ez nengoen esaten ari zenari arreta jartzen.”	0	0
He did not set a figure for the cuts, saying they will be made based on China's economic output.	Ez du murrizketen zenbakirik eman, haren esanean Txinako emaitza ekonomikoetan oinarrituta egingo baitira.	She did not set a figure for the cuts, saying they will be made based on China's economic output.	Ez du murrizketen zenbakirik eman, haren esanean Txinako emaitza ekonomikoetan oinarrituta egingo baitira.	0	0
"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities."""	Gehitu duenez, “ez litzaieke behartu beharko haien garapen-mailatik, arduratik eta gaitasunetik haratago dauden betebeharrik betetzera.”	"She added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities."""	Gehitu duenez, “ez litzaieke behartu beharko haien garapen-mailatik, arduratik eta gaitasunetik haratago dauden betebeharrik betetzera.”	0	0
Current senator and Argentine First Gentlemen Néstor Kirchner announced his presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.	Néstor Kirchner senatariak eta Argentinako lehen jaunak lehendakari izateko hauteskundeetarako hautagaitzaren berri eman zuen atzo iluntzean La Plata-n, Buenos Aires-etik 50 kilometrora (31 miliara) dagoen hirian.	Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.	Cristina Fernandez de Kirchner senatariak eta Argentinako lehen damak lehendakari izateko hauteskundeetarako hautagaitzaren berri eman zuen atzo iluntzean La Plata-n, Buenos Aires-etik 50 kilometrora (31 miliara) dagoen hirian.	0	1
Mr. Kirchner announced his intention to run for president at the Argentine Theatre, the same location he used to start his 2005 campaign for the Senate as member of the Buenos Aires province delegation.	Kirschner-ek Argentina Antzokian azaldu zuen bere helburua lehendakari izatea dela. Toki berean iragarri zuen 2005ean senatari izateko kanpaina, Buenos Aires-eko probintziako ordezkaritzako kide zenean.	Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.	Kirschner-ek Argentina Antzokian azaldu zuen bere helburua lehendakari izatea dela. Toki berean iragarri zuen 2005ean senatari izateko kanpaina, Buenos Aires-eko probintziako ordezkaritzako kide zenean.	0	0
Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.	Robin Uthappa-k izan zuen sarrera-puntuazio altuena: 70 korrikaldi 41 pilotarekin, 11 lauko eta 2 seiko jota.	Mithali Raj made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.	Mithali Raj-ek izan zuen sarrera-puntuazio altuena: 70 korrikaldi 41 pilotarekin, 11 lauko eta 2 seiko jota.	0	1
Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership.	Sachin Tendulkar eta Rahul Dravid ordena ertaineko bate-jotzaileek ere lan ona egin zuten, ehun puntuko kidetza eginda.	Middle order batsmen, Smriti Mandhana and Jemimah Rodrigues, performed well and made a hundred-run partnership.	Smriti Mandhana eta Jemimah Rodrigues ordena ertaineko bate-jotzaileek ere lan ona egin zuten, ehun puntuko kidetza eginda.	1	1
He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.	Wong Kan Seng Singapurreko Ordezko Lehen Ministroak egin zion harrera, eta merkataritzari eta terrorismo-gaiei buruz hitz egin zuen Lee Hsien Loong Singapurreko Lehen Ministroarekin.	She was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.	Wong Kan Seng Singapurreko Ordezko Lehen Ministroak egin zion harrera, eta merkataritzari eta terrorismo-gaiei buruz hitz egin zuen Lee Hsien Loong Singapurreko Lehen Ministroarekin.	1	1
After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.	Legealdiaren erdiko hauteskundeetan astebetez galtzen joan ondoren, Bush-ek ikus-entzuleei azaldu zien Asian negozioak hedatzeko helburua zuela.	After a week of losses in the midterm election, Rice told an audience about the expansion of trade in Asia.	Legealdiaren erdiko hauteskundeetan astebetez galtzen joan ondoren, Rice-ek ikus-entzuleei azaldu zien Asian negozioak hedatzeko helburua zuela.	0	1
Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.	Stephen Harpen lehen ministroak adostu du gobernuaren ‘Clean Air Act’ delakoa alderdi guztiekin osatutako batzorde batera bidaliko duela, berrikus dezan, bigarren aldiz irakurri aurretik, lehen ministroaren bulegoan Jack Layton NDPren buruarekin asteartean 25 minutuko bilera izan eta gero.	Prime Minister Kim Campbell has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.	Kim Campbell lehen ministroak adostu du gobernuaren ‘Clean Air Act’ delakoa alderdi guztiekin osatutako batzorde batera bidaliko duela, berrikus dezan, bigarren aldiz irakurri aurretik, lehen ministroaren bulegoan Jack Layton NDPren buruarekin asteartean 25 minutuko bilera izan eta gero.	1	1
But Prime Minister John Howard has said the act was only to safeguard the facilities of the hospital from being downgraded by the Tasmanian government, in giving an extra AUD$45 million.	John Howard lehen ministroak esan du ekintza hori ospitalearen instalazioak babesteko egin dela, Tasmaniako gobernuak kategoriaz jaitsi aurretik, eta AUD$45 milioi gehigarri eman ditu.	But Prime Minister Julia Gillard has said the act was only to safeguard the facilities of the hospital from being downgraded by the Tasmanian government, in giving an extra AUD$45 million.	Julia Gillard lehen ministroak esan du ekintza hori ospitalearen instalazioak babesteko egin dela, Tasmaniako gobernuak kategoriaz jaitsi aurretik, eta AUD$45 milioi gehigarri eman ditu.	0	1
"Bush spokesman Gordon Johndroe called North Korea's pledge ""a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula."""	Bush-en bozeramaile Gordon Johndroe-k adierazi zuenez, Ipar Korearen eskaera “urrats handia da Koreako penintsularen desnuklearizazio egiaztagarria lortzera bidean.”	"Bush spokeswoman Dana Perino called North Korea's pledge ""a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula."""	Bush-en bozeramaile Dana Perino-k adierazi zuenez, Ipar Korearen eskaera “urrats handia da Koreako penintsularen desnuklearizazio egiaztagarria lortzera bidean.”	1	1
Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.	Pasa den hilabetean Wikinews-ekin hitz egin zuenean, Komunen Ganberako Administratzaile Adam Cuerden-ek adierazi zuen frustrazioa sentitzen zuela ezabaketak direla eta.	Commons Administrator Julia W expressed her frustration over the deletions when she spoke to Wikinews last month.	Pasa den hilabetean Wikinews-ekin hitz egin zuenean, Komunen Ganberako Administratzaile Julia W-ek adierazi zuen frustrazioa sentitzen zuela ezabaketak direla eta.	0	0
He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion.	“[Wales-ek] gezurra esan zigun hasieratik. Lehendabizi, lege-arrazoiengatik ziharduelako itxurak egiten aritu zen. Bigarren, guri kasu egiten ari zelako itxurak egiten aritu zen, artea ezabatu zuen arte.”	She [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending she was listening to us, right up to her art deletion.	“[Wales-ek] gezurra esan zigun hasieratik. Lehendabizi, lege-arrazoiengatik ziharduelako itxurak egiten aritu zen. Bigarren, guri kasu egiten ari zelako itxurak egiten aritu zen, artea ezabatu zuen arte.”	0	0
Dr. Tony Moll discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal.	Tony Moll doktoreak Hegoafrikako KwaZulu-Natal eskualdean aurkitu zuen Botikekiko izugarri erresistentea den tuberkulosia (XDR-TB).	Dr. Sarita Shah discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal.	Sarita Shah doktoreak Hegoafrikako KwaZulu-Natal eskualdean aurkitu zuen Botikekiko izugarri erresistentea den tuberkulosia (XDR-TB).	0	1
"In an interview, he said the new variant was ""very highly troubling and alarming because of the very high fatality rate."""	Elkarrizketa batean aipatu zuenez, aldaera berria “oso kezkagarria eta larria da, heriotza-tasa oso altua duelako.”	"In an interview, she said the new variant was ""very highly troubling and alarming because of the very high fatality rate."""	Elkarrizketa batean aipatu zuenez, aldaera berria “oso kezkagarria eta larria da, heriotza-tasa oso altua duelako.”	0	0
A doctor who worked at Children's Hospital of Pittsburgh, Pennsylvania will be charged with aggravated murder after her mother was found dead in the trunk of her car Wednesday, authorities in Ohio say.	Ohio-ko agintariek azaldu dutenez, Pittsburgh-eko Children’s Hospital ospitalean lan egin zuen mediku bati erailketa bortitza leporatuko diote, asteazkenean bere ama autoaren maletategian hilik aurkitu ostean.	A doctor who worked at Children's Hospital of Pittsburgh, Pennsylvania will be charged with aggravated murder after his mother was found dead in the trunk of his car Wednesday, authorities in Ohio say.	Ohio-ko agintariek azaldu dutenez, Pittsburgh-eko Children’s Hospital ospitalean lan egin zuen mediku bati erailketa bortitza leporatuko diote, asteazkenean bere ama autoaren maletategian hilik aurkitu ostean.	1	0
Dr. Arjun Subramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.	Arjun Subramanian doktorea (29 urte) Blue Ash-en (Ohio) aurkitu zuten Cincinnati-tik gutxi gorabehera 15 miliara dagoen aldirian, errepide ondoan lurrean etzanda, kamiseta bat eta barruko arropa jantzita zituela eta, itxuraz, botika ugariren eraginpean.	Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.	Malar Balasubramanian doktorea (29 urte) Blue Ash-en (Ohio) aurkitu zuten Cincinnati-tik gutxi gorabehera 15 miliara dagoen aldirian, errepide ondoan lurrean etzanda, kamiseta bat eta barruko arropa jantzita zituela eta, itxuraz, botika ugariren eraginpean.	0	1
He directed officers to his black Oldsmobile Intrigue which was 500 feet away.	Poliziako kideak bere Oldsmobile Intrigue markako autoraino eraman zituen, zegoen lekutik 500 oinetara.	She directed officers to her black Oldsmobile Intrigue which was 500 feet away.	Poliziako kideak bere Oldsmobile Intrigue markako autoraino eraman zituen, zegoen lekutik 500 oinetara.	0	0
There, they found the body of Sanjaya Subramanian, 53, covered with blood-stained blankets.	Han, Sanjaya Subramanian-en (53 urte) gorpua aurkitu zuten odolez zikindutako tapakiez estalita.	There, they found the body of Saroja Balasubramanian, 53, covered with blood-stained blankets.	Han, Saroja Balasubramanian-en (53 urte) gorpua aurkitu zuten odolez zikindutako tapakiez estalita.	0	1
In 1956 Słania moved to Sweden, where three years later he began work for the Swedish Post Office and became their chief engraver.	1956an, Słania Suediara joan zen, eta, hiru urte beranduago, Suediako posta-zerbitzurako hasi zen lanean; grabatzaileen buru izatera heldu zen.	In 1956 Słania moved to Sweden, where three years later she began work for the Swedish Post Office and became their chief engraver.	1956an, Słania Suediara joan zen, eta, hiru urte beranduago, Suediako posta-zerbitzurako hasi zen lanean; grabatzaileen buru izatera heldu zen.	0	0
He produced over 1,000 stamps for Sweden and 28 other countries.	Suediarako eta beste 28 herrialdetarako 1.000 zigilu baino gehiago ekoitzi zituen.	She produced over 1,000 stamps for Sweden and 28 other countries.	Suediarako eta beste 28 herrialdetarako 1.000 zigilu baino gehiago ekoitzi zituen.	0	0
"His work is of such recognized quality and detail that he is one of the very few ""household names"" among philatelists. Some specialize in collecting his work alone."	Haren lanak halako kalitatea eta xehetasunak ditu, ezen filatelisten artean “etxeko izen” bakarrenetakoa baita. Zenbait filatelista espezialistak dira haren lana biltzen.	"Her work is of such recognized quality and detail that she is one of the very few ""household names"" among philatelists. Some specialize in collecting her work alone."	Haren lanak halako kalitatea eta xehetasunak ditu, ezen filatelisten artean “etxeko izen” bakarrenetakoa baita. Zenbait filatelista espezialistak dira haren lana biltzen.	0	0
"His 1,000th stamp was the magnificent ""Great Deeds by Swedish Kings"" by David Klöcker Ehrenstrahl in 2000, which is listed in the Guinness Book of World Records."	1.000. zigiluan David Klöcker Ehrenstrahl-en “Suediako erregeen balentria handiak” artelan bikaina irudikatu zuen, 2000. urtekoa. Munduko Errekorren Guinness Liburuan dago jasota.	"Her 1,000th stamp was the magnificent ""Great Deeds by Swedish Kings"" by David Klöcker Ehrenstrahl in 2000, which is listed in the Guinness Book of World Records."	1.000. zigiluan David Klöcker Ehrenstrahl-en “Suediako erregeen balentria handiak” artelan bikaina irudikatu zuen, 2000. urtekoa. Munduko Errekorren Guinness Liburuan dago jasota.	1	0
He was also engaged in engraving banknotes for many countries, recent examples of his work including the Prime Ministerial portraits on the front of the new Canadian $5 and $100 bills.	Horrez gain, hainbat herrialdetako billeteak ere grabatu zituen. Haren lanaren adibiderik berrienak dira Kanadako $5 eta $100 billeteen aurrealdeko lehen ministerioaren erretratuak.	She was also engaged in engraving banknotes for many countries, recent examples of her work including the Prime Ministerial portraits on the front of the new Canadian $5 and $100 bills.	Horrez gain, hainbat herrialdetako billeteak ere grabatu zituen. Haren lanaren adibiderik berrienak dira Kanadako $5 eta $100 billeteen aurrealdeko lehen ministerioaren erretratuak.	0	0
Fluke wrote that the efforts by some to drown out men from speaking out about men’s health were unsuccessful.	Fluke-k idatzi zuenez, ez dira arrakastatsuak izan gizonezkoek beren osasunari buruz hitz egiteko saiakerak isiltzeko ahaleginak.	Fluke wrote that the efforts by some to drown out women from speaking out about women’s health were unsuccessful.	Fluke-k idatzi zuenez, ez dira arrakastatsuak izan emakumeek beren osasunari buruz hitz egiteko saiakerak isiltzeko ahaleginak.	0	0
He came to this conclusion due to the multitude of positive comments and encouragement sent to him by both female and male individuals urging that contraception medication be considered a medical necessity.	Ondorio horretara iritsi zen emakume nahiz gizonengandik jasotako iritzi positiboak eta sostengu zabala jaso zuelako, kontrazepziorako botikak behar mediko gisa har zitezela eskatzeko garaian.	She came to this conclusion due to the multitude of positive comments and encouragement sent to her by both female and male individuals urging that contraception medication be considered a medical necessity.	Ondorio horretara iritsi zen emakume nahiz gizonengandik jasotako iritzi positiboak eta sostengu zabala jaso zuelako, kontrazepziorako botikak behar mediko gisa har zitezela eskatzeko garaian.	0	0
Although Winfrey was tearful in his farewell, he made it clear to his fans he will be back.	Winfrey-k begietan negar malkoak zituela agur esan bazuen ere, zaleei argi esan zien itzuli egingo dela.	Although Winfrey was tearful in her farewell, she made it clear to her fans she will be back.	Winfrey-k begietan negar malkoak zituela agur esan bazuen ere, zaleei argi esan zien itzuli egingo dela.	0	0
Final results from Namibian presidential and parliamentary elections have indicated that the incumbent president, Hifikepunye Pohamba, has been reelected by a large margin.	Namibia-ko presidentetzako eta parlamentuko hauteskundeen azken emaitzek azaltzen dutenez, jarduneko presidente Hifikepunye Pohamba berriro hautatu dute tarte zabalarekin.	Final results from Namibian presidential and parliamentary elections have indicated that the incumbent president, Netumbo Nandi-Ndaitwah, has been reelected by a large margin.	Namibia-ko presidentetzako eta parlamentuko hauteskundeen azken emaitzek azaltzen dutenez, jarduneko presidente Netumbo Nandi-Ndaitwah berriro hautatu dute tarte zabalarekin.	0	1
"Spokesman for Medecines Sans Frontiere Richard Veerman said: ""Angola is heading for its worst ever outbreak and the situation remains very bad in Angola""."	Medecines Sans Frontieres erakundeko bozeramaile Richard Veerman-en esanean, “Angolak inoiz izan duen agerraldirik okerrenera bideratuta dago eta egoerak txarra izaten jarraitzen du Angolan.”	"Spokeswoman for Medecines Sans Frontiere Kavita Menon said: ""Angola is heading for its worst ever outbreak and the situation remains very bad in Angola""."	Medecines Sans Frontieres erakundeko bozeramaile Kavita Menon-en esanean, “Angolak inoiz izan duen agerraldirik okerrenera bideratuta dago eta egoerak txarra izaten jarraitzen du Angolan.”	0	1
Looking decidedly rusty in the game against their southern brothers, South Africa however steadily improved as the tournament progressed.	Hegoaldeko anaien aurkako jokoan okerxeago ari zirela zirudien arren, pixkanaka hobetzen joan zen Hego Afrika, txapelketak aurrera egin ahala.	Looking decidedly rusty in the game against their southern sisters, South Africa however steadily improved as the tournament progressed.	Hegoaldeko ahizpen aurkako jokoan okerxeago ari zirela zirudien arren, pixkanaka hobetzen joan zen Hego Afrika, txapelketak aurrera egin ahala.	0	0
Their thermal behavior is not as steady as large caves on Earth that often maintain a fairly constant temperature, but it is consistent with these being deep holes in the ground, said Glen Cushing of the United States Geological Survey (USGS) Astrogeology Team and of Northern Arizona University located in Flagstaff, Arizona.	“Portaera termikoa ez da Lurreko kobazulo handiena bezain egonkorra (nahiko tenperatura konstantea izan ohi dute), baina bat egiten dute lurrean dauden zulo sakon hauekin” esan du Glen Cushing-ek, Estatu Batuetako Azterketa Geologikoen (USGS) Astrogeologia taldeko eta Flagstaff-eko (Arizona) Ipar Arizonako Unibertsitateko kideak.	Their thermal behavior is not as steady as large caves on Earth that often maintain a fairly constant temperature, but it is consistent with these being deep holes in the ground, said Lauren Edgar of the United States Geological Survey (USGS) Astrogeology Team and of Northern Arizona University located in Flagstaff, Arizona.	“Portaera termikoa ez da Lurreko kobazulo handiena bezain egonkorra (nahiko tenperatura konstantea izan ohi dute), baina bat egiten dute lurrean dauden zulo sakon hauekin” esan du Lauren Edgar-ek, Estatu Batuetako Azterketa Geologikoen (USGS) Astrogeologia taldeko eta Flagstaff-eko (Arizona) Ipar Arizonako Unibertsitateko kideak.	0	1
The show originally featured amateur voice actors, local to East Texas.	Hasieran, bertako (ekialdeko Texaseko) ahots-aktore amateurrek parte hartzen zuten saioan.	The show originally featured amateur voice actresses, local to East Texas.	Hasieran, bertako (ekialdeko Texaseko) ahots-aktore amateurrek parte hartzen zuten saioan.	0	0
